failure_id,failure_mode,component,symptom,root_cause,detection_method,severity,mttr_hours,repair_action,spare_parts_required,preventive_maintenance
FM-011,Image Reconstruction Timeout,Reconstruction Engine,Delayed image availability; queue buildup; timeout errors in syngo,Reconstruction hardware overload; memory exhaustion; corrupted reconstruction pipeline,Reconstruction queue depth; processing time trending; timeout error events,medium,1,Restart reconstruction engine; clear reconstruction queue; reboot inline processing hardware,None typically - reboot required; GPU board if hardware fault,Weekly queue monitoring; monthly reconstruction performance benchmark
FM-012,Bore Fan/Ventilation Failure,Bore Ventilation System,Patient comfort complaints; bore temperature rise; condensation on coils,Fan motor failure; filter blockage; duct obstruction,Bore temperature sensors; fan RPM monitoring; patient comfort feedback correlation,low,2,Replace fan motor; clean or replace filters; inspect ductwork,Fan motor; ventilation filters,Quarterly filter replacement; monthly fan operation check
FM-013,Quench Valve Malfunction,Quench Protection System,Quench valve test failure; false quench alarm; valve stuck open/closed,Valve seal degradation; solenoid failure; sensor calibration drift,Quench valve test events; false alarm frequency; valve position feedback,critical,6,Replace quench valve assembly; recalibrate valve sensors; verify quench pipe integrity,Quench valve assembly; solenoid,Annual quench valve test; quarterly sensor verification
FM-014,ECG Gating Signal Loss,Physiological Monitoring,Cardiac-gated sequences fail; irregular triggering; extended scan times,ECG lead contact degradation; cable damage; interference from gradient switching,ECG signal quality events; gating trigger irregularity; scan duration anomalies on cardiac protocols,low,0.5,Replace ECG leads; verify lead placement technique; check cable routing for interference,ECG lead set; cable,Per-patient lead check; quarterly cable inspection
FM-015,Cryogen Compressor Alarm,Helium Compressor System,Compressor high-pressure alarm; compressor shutdown; helium warming trend,Compressor motor wear; refrigerant leak; dirty heat exchanger; ambient temperature exceedance,Compressor alarm events; pressure/temperature trending; helium boil-off rate increase,critical,8,Emergency compressor service; clean heat exchangers; check refrigerant charge; verify room cooling,Compressor motor; refrigerant charge; heat exchanger,Quarterly compressor inspection; monthly heat exchanger cleaning
FM-016,Scan Protocol Mismatch,Protocol Engine,Wrong sequence executed; parameter override failures; protocol load errors,Protocol database corruption; version mismatch after update; user error in protocol management,Protocol execution logs; parameter comparison alerts; Dot Cockpit version tracking,medium,1,Resync protocol database; verify Dot Cockpit configuration; retrain users on protocol management,None - configuration only,Post-update protocol verification; monthly Dot Cockpit audit
FM-017,Eddy Current Compensation Failure,Gradient System,Geometric distortion; ghosting artifacts; signal oscillation after gradient pulses,Eddy current compensation table outdated; gradient amplifier drift; system temperature change,Image quality metrics; eddy current calibration events; gradient performance monitoring,medium,3,Recalibrate eddy current compensation; update compensation tables; verify gradient amplifier stability,None - calibration only,Quarterly eddy current calibration; monthly gradient performance check
FM-018,SAR Limit Exceeded,SAR Monitoring System,Scan terminated mid-sequence; SAR warning; automatic power reduction,Patient weight entered incorrectly; high-SAR sequence selection; room temperature elevated,SAR monitoring alerts; scan termination events; patient parameter logs,low,0.5,Verify patient weight; adjust sequence parameters; ensure room temperature compliance,None - procedural,Pre-scan SAR estimation review; quarterly SAR monitor calibration
FM-019,Magnet Room Door Interlock,Safety System,Scanner shuts down when door opened during scan; interlock alarm; session interrupted,Door seal sensor failure; interlock relay malfunction; unauthorized door opening,Door interlock events; safety system alerts; session interruption correlation,medium,1,Test door interlock sensors; replace faulty relay; verify door seal integrity; retrain staff,Door sensor; interlock relay,Monthly interlock test; quarterly staff safety refresher
FM-020,System Clock Drift,Timing System,Timestamp inconsistencies in DICOM headers; scheduling conflicts; audit trail discrepancies,NTP synchronization failure; RTC battery depletion; network configuration error,Time deviation alerts; DICOM timestamp analysis; NTP sync failure events,low,0.5,Resync with NTP server; replace RTC battery; verify network time configuration,RTC battery,Monthly time sync verification; annual RTC battery check
